Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore,days_in_inventory,past_demand,days_on_platform
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,Delhi,Chennai,eon,56,30,62,41
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,Delhi,Pune,i20,69,81,61,56
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,Kolkata,Ahmedabad,i20,30,24,35,23
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,Kolkata,Bangalore,verna,87,44,88,69
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,Mumbai,Jaipur,verna,71,84,78,50
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,Mumbai,Kolkata,i10,60,127,58,66
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,Jaipur,Bangalore,grand i10,72,43,71,64
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,Delhi,Mumbai,i10,45,127,49,68
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,Hyderabad,Delhi,verna,80,24,82,60
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,Ahmedabad,Delhi,i20,87,110,91,52
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,Ahmedabad,Kolkata,verna,87,129,85,35
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,Lucknow,Kolkata,verna,87,26,86,86
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,Hyderabad,Ahmedabad,elantra,49,113,47,25
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,Kolkata,Hyderabad,grand i10,58,78,63,71
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,Ahmedabad,Chennai,grand i10,58,105,58,82
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,Pune,Hyderabad,verna,88,137,94,46
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,Chennai,Lucknow,eon,84,106,83,74
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,Bangalore,Mumbai,creta,80,131,80,56
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,verna,80,58,84,22
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,Delhi,Chennai,eon,56,73,56,82
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,Ahmedabad,Ahmedabad,verna,80,77,83,50
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,Chennai,Bangalore,xcent,58,137,49,80
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,Ahmedabad,Mumbai,xcent,44,148,38,63
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,Bangalore,Kolkata,i20,31,141,30,73
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,Jaipur,Jaipur,verna,71,71,73,36
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,Delhi,Chennai,verna,53,109,52,26
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,Bangalore,Lucknow,i20,30,144,37,12
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,Jaipur,Delhi,verna,80,77,84,74
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,Pune,Chennai,i10,83,32,83,55
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,Delhi,Pune,i20,69,47,63,80
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,Hyderabad,Pune,creta,90,122,97,34
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,Kolkata,Chennai,city,30,47,22,73
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,Bangalore,Kolkata,brio,52,105,51,18
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,Bangalore,Mumbai,city,48,29,55,89
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,Lucknow,Bangalore,city,49,118,52,54
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,Jaipur,Bangalore,brio,65,30,65,10
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,Jaipur,Lucknow,city,86,93,84,72
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,Delhi,Delhi,city,65,108,63,72
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,Hyderabad,Jaipur,city,75,98,82,64
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,Ahmedabad,Ahmedabad,amaze,85,101,81,13
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,city,31,142,34,52
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,Bangalore,Hyderabad,brio,51,83,44,57
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,Lucknow,Lucknow,amaze,51,116,56,30
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,Lucknow,Kolkata,jazz,89,96,92,16
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,Jaipur,Chennai,amaze,47,75,43,34
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,jazz,92,112,99,56
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,Ahmedabad,Delhi,amaze,59,54,62,28
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,Lucknow,Chennai,city,30,99,27,83
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,Lucknow,Chennai,brio,44,30,47,44
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,Bangalore,Bangalore,city,49,52,41,37
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,Kolkata,Delhi,city,65,82,57,26
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,Chennai,Chennai,city,30,122,20,35
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,Lucknow,Bangalore,city,49,72,47,18
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,Bangalore,Delhi,jazz,78,126,83,54
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,Delhi,Mumbai,brio,69,35,66,53
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,Jaipur,Pune,city,89,118,98,31
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,Hyderabad,Kolkata,city,73,35,77,65
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,Bangalore,Jaipur,city,75,52,84,50
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,Kolkata,Chennai,jazz,51,111,49,81
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,Chennai,Mumbai,city,48,74,47,47
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,Mumbai,Jaipur,brio,70,131,70,74
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,Jaipur,Jaipur,city,75,144,70,40
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,Mumbai,Delhi,city,65,67,70,10
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,Bangalore,Pune,city,89,134,80,82
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,Chennai,Delhi,brio,86,134,84,62
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,Mumbai,Mumbai,jazz,94,148,84,13
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,Jaipur,Kolkata,jazz,89,41,79,60
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,Chennai,Ahmedabad,amaze,85,52,86,28
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,Delhi,Pune,city,89,89,83,33
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,Kolkata,Jaipur,city,75,80,78,80
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,Jaipur,Delhi,amaze,59,133,57,83
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,Hyderabad,Bangalore,brio,65,89,56,43
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,Chennai,Mumbai,jazz,94,64,84,86
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,Hyderabad,Ahmedabad,city,31,96,32,80
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,Kolkata,Chennai,amaze,47,21,52,70
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,Delhi,Hyderabad,city,42,58,49,68
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,Jaipur,Hyderabad,city,42,66,44,87
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,Kolkata,Mumbai,brio,69,119,63,12
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,Bangalore,Delhi,city,65,78,62,75
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,Lucknow,Mumbai,city,48,141,55,21
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,Mumbai,Kolkata,brio,52,100,42,11
